"Statistic","International","BICC","Super League","Youth"
"Matches",17855,89019,12195,6610
"Legs",85446,382195,51071,20054
"Throws",1200383,5922129,816745,378481
"Players",2641,10776,5406,2956
"Legs per match",4.786,4.293,4.188,3.034
"Throws per leg",14.048,15.495,15.992,18.873
"Points per throw (all)",65.842,60.064,57.714,49.001
"Points per throw (first three)",79.616,70.579,67.489,59.288
"Starter wins leg (proportion)",0.587,0.57,0.56,0.548
"One-dart finish opportunities",111241,587876,81385,45893
"One-dart finish opportunities (first only)",68547,345416,46518,20563
"Successful one-dart finish (proportion)",0.465,0.425,0.419,0.314
"Successful one-dart finish (proportion, first only)",0.528,0.473,0.465,0.363
